"distribution","sample_size","replications","method","global_ise","global_squared_bias","global_variance","boundary_ise","boundary_squared_bias","boundary_variance","finite_rate","mean_floor_ratio","minimum_density","maximum_mass_error"
"lomax_2",100,30,"current",0.0320268987246898,0.00648388858700561,0.0255430101376842,0.022571498829797,0.00539273643819479,0.0171787623916022,NA,NA,0,1.11022302462516e-16
"lomax_2",100,30,"fixed-15pct",0.0341784289040103,0.00545431820112166,0.0287241107028886,0.0246692629391396,0.00437317194694695,0.0202960909921927,0.7,1.74298292023704,0,1.11022302462516e-16
"lomax_2",100,30,"fixed-20pct",0.0329364272846334,0.00531565631751246,0.0276207709671209,0.0234373427192617,0.00422860716891606,0.0192087355503456,0.7,2.25345608974253,0,1.11022302462516e-16
"lomax_2",100,30,"fixed-25pct",0.0315504362882948,0.00516885482754763,0.0263815814607472,0.022037140835904,0.00407275491685668,0.0179643859190473,0.7,2.77239130253995,0,1.11022302462516e-16
"lomax_2",100,30,"fixed-30pct",0.0302487831990908,0.00501418054191126,0.0252346026571795,0.0207106798807081,0.00390287366269442,0.0168078062180136,0.7,3.42851685390775,0,1.11022302462516e-16
"lomax_2",100,30,"fixed-35pct",0.0299454664033389,0.00498769968054349,0.0249577667227954,0.0204190781644711,0.00387799504835325,0.0165410831161179,0.7,4.08323232164168,0,1.11022302462516e-16
"lomax_2",100,30,"fixed-40pct",0.0294528981772044,0.00493738819233153,0.0245155099848729,0.0199445389599459,0.00382085750427208,0.0161236814556738,0.7,4.72644379724695,0,1.11022302462516e-16
"lomax_2",100,30,"fixed-50pct",0.0285189100946901,0.00474155087942755,0.0237773592152626,0.0190556289633984,0.00360673315380207,0.0154488958095963,0.7,6.18958080513734,0,1.11022302462516e-16
"lomax_2",100,30,"fixed-75pct",0.0262364414943695,0.00434160891191695,0.0218948325824526,0.0169627470963472,0.00315960086719081,0.0138031462291564,0.7,11.9477658059949,0,1.11022302462516e-16
"lomax_2",100,30,"fixed-100pct",0.0344264830854107,0.0101608357551471,0.0242656473302637,0.0250325446664152,0.00909821530212285,0.0159343293642923,0.7,92.7046182399041,0,1.11022302462516e-16
"lomax_2",100,30,"shrinking",0.0349986902781772,0.0053166941988258,0.0296819960793514,0.0255221859554241,0.00423518037423045,0.0212870055811936,0.7,1.33704272336928,0,1.11022302462516e-16
"lomax_2",1000,30,"current",0.00466466138729923,0.00143513707469976,0.00322952431259947,0.00350149716851033,0.00112671300315472,0.00237478416535561,NA,NA,0,1.11022302462516e-16
"lomax_2",1000,30,"fixed-15pct",0.00436099990888606,0.000878121257830974,0.00348287865105509,0.00320092795758196,0.000564160869336452,0.00263676708824551,0.666666666666667,4.4932550558715,0,1.11022302462516e-16
"lomax_2",1000,30,"fixed-20pct",0.00423966119040754,0.000876618726807714,0.00336304246359983,0.00307622311705505,0.000560854659297538,0.00251536845775752,0.666666666666667,5.81675470465849,0,1.11022302462516e-16
"lomax_2",1000,30,"fixed-25pct",0.0041430445540767,0.000876082849395204,0.0032669617046815,0.00297729161922663,0.00055846411536554,0.00241882750386109,0.666666666666667,7.11933483971629,0,2.22044604925031e-16
"lomax_2",1000,30,"fixed-30pct",0.0040731577359026,0.000877330147025215,0.00319582758887738,0.00290481115181225,0.00055813996746545,0.0023466711843468,0.666666666666667,8.52294235352961,0,1.11022302462516e-16
"lomax_2",1000,30,"fixed-35pct",0.00401937859112426,0.000878730832829979,0.00314064775829428,0.00284942159321027,0.000558245311673399,0.00229117628153687,0.666666666666667,9.97469592167928,0,1.11022302462516e-16
"lomax_2",1000,30,"fixed-40pct",0.00397052028672156,0.000880354759175136,0.00309016552754642,0.0027996394210534,0.00055854532208646,0.00224109409896694,0.666666666666667,11.5527001556363,0,1.11022302462516e-16
"lomax_2",1000,30,"fixed-50pct",0.00390556519468693,0.000885414325502173,0.00302015086918476,0.00273302688240551,0.000561236325944702,0.0021717905564608,0.666666666666667,15.168288605388,0,1.11022302462516e-16
"lomax_2",1000,30,"fixed-75pct",0.00388389723608418,0.000892559922975234,0.00299133731310895,0.00271109831571414,0.000567744771275972,0.00214335354443817,0.666666666666667,28.0685793643946,0,1.11022302462516e-16
"lomax_2",1000,30,"fixed-100pct",0.00649334812218761,0.00215366087792471,0.0043396872442629,0.00536551738685692,0.00189185791667889,0.00347365947017803,0.666666666666667,316.351208853879,0,1.11022302462516e-16
"lomax_2",1000,30,"shrinking",0.00485525856366109,0.000865000667250043,0.00399025789641104,0.00369570145755347,0.000550680684486621,0.00314502077306685,0.666666666666667,1.32912073570791,0,1.11022302462516e-16
